category_id,title,parent_1,parent_2,parent_3
blacksea,Black Sea,restaurants,,
blinds,Shades & Blinds,homeservices,,
blooddonation,Blood & Plasma Donation Centers,health,,
blowfish,Blowfish,japanese,,
blowoutservices,Blow Dry/Out Services,hair,,
boatcharters,Boat Charters,eventservices,,
boatdealers,Boat Dealers,auto,,
boating,Boating,active,,
boatpartsandsupplies,Boat Parts & Supplies,auto,,
boatrepair,Boat Repair,professional,,
boattours,Boat Tours,tours,,
bobsledding,Bobsledding,active,,
bocceball,Bocce Ball,active,,
bodycontouring,Body Contouring,health,,
bodyshops,Body Shops,auto,,
bookbinding,Bookbinding,localservices,,
bookkeepers,Bookkeepers,professional,,
bookstores,Bookstores,media,,
bootcamps,Boot Camps,fitness,,
boudoirphotography,Boudoir Photography,photographers,,
bouncehouserentals,Bounce House Rentals,partyequipmentrentals,,
bourguignon,Bourguignon,french,,
bowling,Bowling,active,,
boxing,Boxing,fitness,,
brasseries,Brasseries,restaurants,,
brazilian,Brazilian,restaurants,,
brazilianempanadas,Brazilian Empanadas,brazilian,,
brazilianjiujitsu,Brazilian Jiu-jitsu,martialarts,,
breakfast_brunch,Breakfast & Brunch,restaurants,,
breweries,Breweries,food,,
brewingsupplies,Brewing Supplies,shopping,,
brewpubs,Brewpubs,breweries,,
bridal,Bridal,shopping,,
british,British,restaurants,,
bubblesoccer,Bubble Soccer,active,,
bubbletea,Bubble Tea,food,,
buddhist_temples,Buddhist Temples,religiousorgs,,
buffets,Buffets,restaurants,,
buildingsupplies,Building Supplies,homeservices,,
bulgarian,Bulgarian,restaurants,,
bulkbilling,Bulk Billing,medcenters,,
bungeejumping,Bungee Jumping,active,,
burgers,Burgers,restaurants,,
burmese,Burmese,restaurants,,
buses,Buses,transport,,
businessconsulting,Business Consulting,professional,,
businessfinancing,Business Financing,financialservices,,
businesslawyers,Business Law,lawyers,,
busrental,Bus Rental,localservices,,
busstations,Bus Stations,transport,,
bustours,Bus Tours,tours,,
butcher,Butcher,food,,
c_and_mh,Counseling & Mental Health,health,,
cabaret,Cabaret,arts,,
cabinetry,Cabinetry,homeservices,,
cablecars,Cable Cars,transport,,
cafes,Cafes,restaurants,,
cafeteria,Cafeteria,restaurants,,
cajun,Cajun/Creole,restaurants,,
cakeshop,Patisserie/Cake Shop,food,,
calabrian,Calabrian,italian,,
calligraphy,Calligraphy,localservices,,
cambodian,Cambodian,restaurants,,
campgrounds,Campgrounds,hotelstravel,,
candlestores,Candle Stores,homeandgarden,,
candy,Candy Stores,gourmet,,
cannabis_clinics,Cannabis Clinics,health,,
cannabiscollective,Cannabis Collective,health,,
cannabisdispensaries,Cannabis Dispensaries,shopping,,
cannabisreferrals,Medical Cannabis Referrals,health,,
cannabistours,Cannabis Tours,cannabis_clinics,,
canteen,Canteen,restaurants,,
cantonese,Cantonese,chinese,,
canyoneering,Canyoneering,active,,
car_dealers,Car Dealers,auto,,
carauctions,Car Auctions,auto,,
carbrokers,Car Brokers,auto,,
carbuyers,Car Buyers,auto,,
cardioclasses,Cardio Classes,fitness,,
cardiology,Cardiologists,physicians,,
careercounseling,Career Counseling,professional,,
caribbean,Caribbean,restaurants,,
caricatures,Caricatures,eventservices,,
carousels,Carousels,active,,
carpenters,Carpenters,homeservices,,
carpet_cleaning,Carpet Cleaning,localservices,,
carpetdyeing,Carpet Dyeing,localservices,,
carpeting,Carpeting,homeservices,,
carpetinstallation,Carpet Installation,homeservices,,
carrental,Car Rental,hotelstravel,,
carshares,Car Share Services,auto,,
carwash,Car Wash,auto,,
carwindowtinting,Car Window Tinting,autoglass,,
casinos,Casinos,arts,,
